Data,Vazões
08/03/2017,62.456
09/03/2017,58.167
10/03/2017,50.989
11/03/2017,62.456
12/03/2017,49.99800000000001
13/03/2017,52.997
14/03/2017,61.912
15/03/2017,60.294
16/03/2017,57.11600000000001
17/03/2017,49.99800000000001
18/03/2017,46.12
19/03/2017,72.596
20/03/2017,77.318
21/03/2017,74.941
22/03/2017,63.549
23/03/2017,58.167
24/03/2017,49.99800000000001
25/03/2017,48.042
26/03/2017,61.371
27/03/2017,147.971
28/03/2017,100.184
29/03/2017,73.764
30/03/2017,62.456
31/03/2017,56.074
01/04/2017,49.99800000000001
02/04/2017,48.042
03/04/2017,45.646
04/04/2017,44.233999999999995
05/04/2017,43.768
06/04/2017,42.382
07/04/2017,41.468999999999994
08/04/2017,44.702
09/04/2017,48.042
10/04/2017,49.506
11/04/2017,46.598
12/04/2017,44.233999999999995
13/04/2017,40.565
14/04/2017,65.76100000000001
15/04/2017,54.526
16/04/2017,48.042
17/04/2017,45.646
18/04/2017,43.303000000000004
19/04/2017,41.924
20/04/2017,40.565
21/04/2017,83.406
22/04/2017,64.65100000000001
23/04/2017,51.989
24/04/2017,46.598
25/04/2017,41.468999999999994
26/04/2017,42.382
27/04/2017,69.712
28/04/2017,64.65100000000001
29/04/2017,57.11600000000001
30/04/2017,47.558
01/05/2017,44.233999999999995
02/05/2017,42.382
03/05/2017,41.924
04/05/2017,40.565
05/05/2017,37.907
06/05/2017,66.87899999999999
07/05/2017,50.493
08/05/2017,42.382
09/05/2017,40.565
10/05/2017,38.784
11/05/2017,37.039
12/05/2017,36.608000000000004
13/05/2017,35.753
14/05/2017,34.907
15/05/2017,36.179
16/05/2017,69.141
17/05/2017,66.319
18/05/2017,59.75899999999999
19/05/2017,56.593999999999994
20/05/2017,56.074
21/05/2017,52.997
22/05/2017,52.492
23/05/2017,50.493
24/05/2017,50.989
25/05/2017,49.99800000000001
26/05/2017,47.077
27/05/2017,41.468999999999994
28/05/2017,40.565
29/05/2017,38.345
30/05/2017,37.039
31/05/2017,35.753
01/06/2017,35.329
02/06/2017,35.329
03/06/2017,35.329
04/06/2017,34.486999999999995
05/06/2017,33.655
06/06/2017,33.655
07/06/2017,32.423
08/06/2017,32.016999999999996
09/06/2017,31.613000000000003
10/06/2017,30.811999999999998
11/06/2017,30.415
12/06/2017,30.415
13/06/2017,28.85
14/06/2017,28.85
15/06/2017,28.85
16/06/2017,28.465
17/06/2017,29.238000000000003
18/06/2017,28.081
19/06/2017,27.322
20/06/2017,27.322
21/06/2017,27.7
22/06/2017,28.081
23/06/2017,29.238000000000003
24/06/2017,27.322
25/06/2017,27.322
26/06/2017,26.945
27/06/2017,25.83
28/06/2017,26.945
29/06/2017,27.322
30/06/2017,27.322
01/07/2017,26.945
02/07/2017,26.2
03/07/2017,25.83
04/07/2017,24.736
05/07/2017,24.375999999999998
06/07/2017,23.31
07/07/2017,22.96
08/07/2017,21.921999999999997
09/07/2017,21.263
10/07/2017,20.328
11/07/2017,20.328
12/07/2017,19.124000000000002
13/07/2017,19.124000000000002
14/07/2017,18.83
15/07/2017,17.965999999999994
16/07/2017,17.965999999999994
17/07/2017,17.965999999999994
18/07/2017,17.965999999999994
19/07/2017,17.965999999999994
20/07/2017,17.965999999999994
21/07/2017,17.684
22/07/2017,17.128
23/07/2017,16.854
24/07/2017,16.854
25/07/2017,16.854
26/07/2017,16.854
27/07/2017,16.584
28/07/2017,15.788
29/07/2017,16.854
30/07/2017,16.854
31/07/2017,16.854
01/08/2017,16.854
02/08/2017,16.854
03/08/2017,16.854
04/08/2017,16.854
05/08/2017,16.854
06/08/2017,16.854
07/08/2017,16.854
08/08/2017,16.316
09/08/2017,14.765999999999998
10/08/2017,14.765999999999998
11/08/2017,14.765999999999998
12/08/2017,14.765999999999998
13/08/2017,14.517999999999999
14/08/2017,14.765999999999998
15/08/2017,14.765999999999998
16/08/2017,14.765999999999998
17/08/2017,14.765999999999998
18/08/2017,14.765999999999998
19/08/2017,14.765999999999998
20/08/2017,14.765999999999998
21/08/2017,14.765999999999998
22/08/2017,14.765999999999998
23/08/2017,14.765999999999998
24/08/2017,14.272
25/08/2017,13.788
26/08/2017,12.853
27/08/2017,12.853
28/08/2017,12.853
29/08/2017,12.401
30/08/2017,11.742
31/08/2017,11.527999999999999
01/09/2017,11.959000000000001
02/09/2017,11.959000000000001
03/09/2017,11.959000000000001
04/09/2017,11.959000000000001
05/09/2017,11.742
06/09/2017,11.527999999999999
07/09/2017,11.315999999999999
08/09/2017,10.696
09/09/2017,10.294
10/09/2017,10.294
11/09/2017,10.294
12/09/2017,10.294
13/09/2017,10.294
14/09/2017,10.294
15/09/2017,9.902999999999999
16/09/2017,9.521
17/09/2017,9.521
18/09/2017,9.521
19/09/2017,9.521
20/09/2017,9.521
21/09/2017,9.521
22/09/2017,9.521
23/09/2017,9.521
24/09/2017,9.521
25/09/2017,9.711
26/09/2017,9.521
27/09/2017,8.787
28/09/2017,8.609
29/09/2017,8.09
30/09/2017,8.787
01/10/2017,10.696
02/10/2017,11.107000000000001
03/10/2017,11.527999999999999
04/10/2017,11.959000000000001
05/10/2017,12.179
06/10/2017,13.083
07/10/2017,10.9
08/10/2017,8.787
09/10/2017,10.294
10/10/2017,10.294
11/10/2017,12.179
12/10/2017,11.959000000000001
13/10/2017,10.294
14/10/2017,12.853
15/10/2017,12.853
16/10/2017,12.853
17/10/2017,12.853
18/10/2017,12.853
19/10/2017,12.853
20/10/2017,11.315999999999999
21/10/2017,11.959000000000001
22/10/2017,15.272
23/10/2017,12.401
24/10/2017,10.294
25/10/2017,11.107000000000001
26/10/2017,10.294
27/10/2017,10.294
28/10/2017,9.521
29/10/2017,9.149
30/10/2017,8.787
31/10/2017,8.26
01/11/2017,34.486999999999995
02/11/2017,26.572
03/11/2017,23.663
04/11/2017,24.019000000000002
05/11/2017,22.96
06/11/2017,20.949
07/11/2017,17.404
08/11/2017,15.529000000000002
09/11/2017,14.029000000000002
10/11/2017,12.179
11/11/2017,13.315
12/11/2017,15.788
13/11/2017,16.051
14/11/2017,17.965999999999994
15/11/2017,37.039
16/11/2017,36.608000000000004
17/11/2017,41.468999999999994
18/11/2017,48.042
19/11/2017,49.01600000000001
20/11/2017,55.04
21/11/2017,63.549
22/11/2017,52.997
23/11/2017,43.303000000000004
24/11/2017,40.565
25/11/2017,39.226
26/11/2017,45.173
27/11/2017,43.303000000000004
28/11/2017,55.556000000000004
29/11/2017,61.371
30/11/2017,49.99800000000001
01/12/2017,60.294
02/12/2017,52.997
03/12/2017,56.074
04/12/2017,76.126
05/12/2017,105.618
06/12/2017,115.434
07/12/2017,121.21600000000001
08/12/2017,84.648
09/12/2017,70.859
10/12/2017,65.205
11/12/2017,51.989
12/12/2017,45.173
13/12/2017,43.303000000000004
14/12/2017,41.468999999999994
15/12/2017,48.528
16/12/2017,45.646
17/12/2017,42.382
18/12/2017,59.227
19/12/2017,46.12
20/12/2017,42.382
21/12/2017,38.345
22/12/2017,46.598
23/12/2017,43.303000000000004
24/12/2017,42.842
25/12/2017,37.907
26/12/2017,46.598
27/12/2017,38.784
28/12/2017,38.784
29/12/2017,47.077
30/12/2017,55.04
31/12/2017,71.436
01/01/2018,388.45
02/01/2018,391.171
03/01/2018,327.755
04/01/2018,356.329
05/01/2018,332.88699999999994
06/01/2018,402.121
07/01/2018,623.066
08/01/2018,732.1560000000003
09/01/2018,817.0889999999997
10/01/2018,752.6510000000003
11/01/2018,570.889
12/01/2018,435.605
13/01/2018,369.594
14/01/2018,322.651
15/01/2018,302.519
16/01/2018,290.171
17/01/2018,273.192
18/01/2018,261.286
19/01/2018,249.57
20/01/2018,240.334
21/01/2018,226.71200000000002
22/01/2018,218.89700000000002
23/01/2018,215.577
24/01/2018,211.179
25/01/2018,220.00799999999998
26/01/2018,268.407
27/01/2018,92.271
28/01/2018,74.941
29/01/2018,76.721
30/01/2018,182.282
31/01/2018,144.005
01/02/2018,100.184
02/02/2018,105.618
03/02/2018,92.92
04/02/2018,85.899
05/02/2018,92.92
06/02/2018,88.42299999999999
07/02/2018,77.318
08/02/2018,78.52
09/02/2018,133.154
10/02/2018,121.21600000000001
11/02/2018,90.98
12/02/2018,80.947
13/02/2018,81.559
14/02/2018,73.179
15/02/2018,68.006
16/02/2018,63.549
17/02/2018,61.371
18/02/2018,63.549
19/02/2018,83.406
20/02/2018,77.318
21/02/2018,72.596
22/02/2018,65.76100000000001
23/02/2018,66.319
24/02/2018,66.87899999999999
25/02/2018,76.126
26/02/2018,74.941
27/02/2018,72.596
28/02/2018,76.126
01/03/2018,102.885
02/03/2018,83.406
03/03/2018,83.406
04/03/2018,74.941
05/03/2018,65.76100000000001
06/03/2018,57.64100000000001
07/03/2018,56.593999999999994
08/03/2018,57.11600000000001
09/03/2018,63.549
10/03/2018,65.76100000000001
11/03/2018,71.436
12/03/2018,76.126
13/03/2018,77.318
14/03/2018,68.006
15/03/2018,57.11600000000001
16/03/2018,50.989
17/03/2018,49.01600000000001
18/03/2018,68.006
19/03/2018,56.074
20/03/2018,49.01600000000001
21/03/2018,48.042
22/03/2018,48.042
23/03/2018,58.167
24/03/2018,56.074
25/03/2018,50.989
26/03/2018,51.488
27/03/2018,55.04
28/03/2018,49.01600000000001
29/03/2018,46.12
30/03/2018,43.303000000000004
31/03/2018,41.924
01/04/2018,44.233999999999995
02/04/2018,58.167
03/04/2018,68.006
04/04/2018,58.167
05/04/2018,57.11600000000001
06/04/2018,50.989
07/04/2018,47.077
08/04/2018,46.12
09/04/2018,48.042
10/04/2018,45.173
11/04/2018,43.303000000000004
12/04/2018,40.565
13/04/2018,38.784
14/04/2018,39.226
15/04/2018,41.01600000000001
16/04/2018,67.441
17/04/2018,59.227
18/04/2018,52.492
19/04/2018,51.488
20/04/2018,46.598
21/04/2018,43.303000000000004
22/04/2018,41.01600000000001
23/04/2018,39.67
24/04/2018,38.784
25/04/2018,37.472
26/04/2018,37.039
27/04/2018,36.608000000000004
28/04/2018,36.179
29/04/2018,35.329
30/04/2018,34.486999999999995
01/05/2018,33.655
02/05/2018,32.830999999999996
03/05/2018,32.016999999999996
04/05/2018,31.211
05/05/2018,31.211
06/05/2018,30.415
07/05/2018,30.415
08/05/2018,30.415
09/05/2018,30.415
10/05/2018,30.02
11/05/2018,29.238000000000003
12/05/2018,28.081
13/05/2018,28.081
14/05/2018,28.081
15/05/2018,27.322
16/05/2018,27.322
17/05/2018,27.322
18/05/2018,27.322
19/05/2018,27.322
20/05/2018,35.329
21/05/2018,38.345
22/05/2018,39.226
23/05/2018,38.345
24/05/2018,35.753
25/05/2018,33.242
26/05/2018,31.613000000000003
27/05/2018,30.811999999999998
28/05/2018,30.02
29/05/2018,28.85
30/05/2018,28.85
31/05/2018,27.322
01/06/2018,33.655
02/06/2018,32.830999999999996
03/06/2018,32.016999999999996
04/06/2018,31.211
05/06/2018,31.211
06/06/2018,30.415
07/06/2018,30.415
08/06/2018,30.415
09/06/2018,30.415
10/06/2018,28.081
11/06/2018,29.238000000000003
12/06/2018,28.081
13/06/2018,27.7
14/06/2018,27.7
15/06/2018,27.322
16/06/2018,27.322
17/06/2018,27.322
18/06/2018,27.322
19/06/2018,30.415
20/06/2018,37.039
21/06/2018,39.67
22/06/2018,38.345
23/06/2018,35.753
24/06/2018,33.242
25/06/2018,31.613000000000003
26/06/2018,30.811999999999998
27/06/2018,30.02
28/06/2018,28.85
29/06/2018,28.465
30/06/2018,28.081
01/07/2018,19.124000000000002
02/07/2018,18.539
03/07/2018,18.539
04/07/2018,18.539
05/07/2018,17.965999999999994
06/07/2018,17.965999999999994
07/07/2018,17.404
08/07/2018,17.404
09/07/2018,17.404
10/07/2018,17.404
11/07/2018,17.404
12/07/2018,17.404
13/07/2018,17.404
14/07/2018,17.404
15/07/2018,16.854
16/07/2018,16.854
17/07/2018,16.854
18/07/2018,16.584
19/07/2018,16.584
20/07/2018,16.051
21/07/2018,15.788
22/07/2018,15.529000000000002
23/07/2018,15.529000000000002
24/07/2018,15.017999999999999
25/07/2018,15.017999999999999
26/07/2018,14.517999999999999
27/07/2018,14.517999999999999
28/07/2018,14.272
29/07/2018,14.272
30/07/2018,13.788
31/07/2018,13.315
01/08/2018,12.853
02/08/2018,12.853
03/08/2018,12.853
04/08/2018,12.625
05/08/2018,12.401
06/08/2018,12.401
07/08/2018,12.401
08/08/2018,12.625
09/08/2018,12.853
10/08/2018,12.853
11/08/2018,12.853
12/08/2018,12.853
13/08/2018,12.853
14/08/2018,12.853
15/08/2018,12.853
16/08/2018,12.853
17/08/2018,13.083
18/08/2018,13.083
19/08/2018,13.083
20/08/2018,12.853
21/08/2018,12.625
22/08/2018,12.401
23/08/2018,12.401
24/08/2018,13.315
25/08/2018,13.55
26/08/2018,14.517999999999999
27/08/2018,14.765999999999998
28/08/2018,14.517999999999999
29/08/2018,14.272
30/08/2018,13.788
31/08/2018,13.315
01/09/2018,13.083
02/09/2018,12.625
03/09/2018,12.401
04/09/2018,11.959000000000001
05/09/2018,11.527999999999999
06/09/2018,11.527999999999999
07/09/2018,11.107000000000001
08/09/2018,10.696
09/09/2018,10.696
10/09/2018,10.696
11/09/2018,10.494000000000002
12/09/2018,10.097000000000001
13/09/2018,9.521
14/09/2018,9.521
15/09/2018,10.494000000000002
16/09/2018,11.107000000000001
17/09/2018,18.83
18/09/2018,18.539
19/09/2018,20.023
20/09/2018,20.328
21/09/2018,20.636999999999997
22/09/2018,18.250999999999998
23/09/2018,17.684
24/09/2018,16.051
25/09/2018,15.272
26/09/2018,13.788
27/09/2018,12.625
28/09/2018,11.527999999999999
29/09/2018,10.696
30/09/2018,10.294
01/10/2018,10.294
02/10/2018,10.294
03/10/2018,10.294
04/10/2018,9.902999999999999
05/10/2018,9.334
06/10/2018,9.149
07/10/2018,9.521
08/10/2018,11.959000000000001
09/10/2018,12.401
10/10/2018,13.55
11/10/2018,14.272
12/10/2018,15.017999999999999
13/10/2018,15.272
14/10/2018,15.272
15/10/2018,16.316
16/10/2018,16.584
17/10/2018,38.345
18/10/2018,31.613000000000003
19/10/2018,49.506
20/10/2018,43.303000000000004
21/10/2018,34.907
22/10/2018,26.945
23/10/2018,27.322
24/10/2018,37.472
25/10/2018,35.329
26/10/2018,49.99800000000001
27/10/2018,47.558
28/10/2018,35.753
29/10/2018,30.415
30/10/2018,28.465
31/10/2018,26.572
01/11/2018,30.415
02/11/2018,66.319
03/11/2018,63.549
04/11/2018,46.598
05/11/2018,94.87700000000001
06/11/2018,69.712
07/11/2018,52.492
08/11/2018,72.596
09/11/2018,86.527
10/11/2018,86.527
11/11/2018,80.337
12/11/2018,65.76100000000001
13/11/2018,55.04
14/11/2018,44.702
15/11/2018,41.01600000000001
16/11/2018,40.565
17/11/2018,41.01600000000001
18/11/2018,55.556000000000004
19/11/2018,80.337
20/11/2018,204.642
21/11/2018,143.217
22/11/2018,130.122
23/11/2018,109.77799999999999
24/11/2018,137.75799999999998
25/11/2018,162.644
26/11/2018,261.286
27/11/2018,131.634
28/11/2018,121.21600000000001
29/11/2018,93.57
30/11/2018,74.941
01/12/2018,73.179
02/12/2018,109.08
03/12/2018,124.89299999999999
04/12/2018,114.008
05/12/2018,94.22200000000001
06/12/2018,77.918
07/12/2018,65.205
08/12/2018,59.75899999999999
09/12/2018,54.526
10/12/2018,48.042
11/12/2018,46.12
12/12/2018,44.233999999999995
13/12/2018,44.233999999999995
14/12/2018,42.382
15/12/2018,40.565
16/12/2018,38.784
17/12/2018,38.784
18/12/2018,38.345
19/12/2018,36.179
20/12/2018,35.329
21/12/2018,35.753
22/12/2018,58.69600000000001
23/12/2018,52.997
24/12/2018,100.184
25/12/2018,87.15700000000002
26/12/2018,64.65100000000001
27/12/2018,73.764
28/12/2018,121.21600000000001
29/12/2018,114.008
30/12/2018,79.729
31/12/2018,68.006
01/01/2019,102.885
02/01/2019,78.52
03/01/2019,70.28399999999999
04/01/2019,63.549
05/01/2019,55.04
06/01/2019,58.167
07/01/2019,49.99800000000001
08/01/2019,49.01600000000001
09/01/2019,49.99800000000001
10/01/2019,49.01600000000001
11/01/2019,46.12
12/01/2019,46.12
13/01/2019,56.074
14/01/2019,69.141
15/01/2019,95.53299999999999
16/01/2019,56.074
17/01/2019,48.528
18/01/2019,45.173
19/01/2019,45.173
20/01/2019,41.468999999999994
21/01/2019,41.468999999999994
22/01/2019,38.784
23/01/2019,37.039
24/01/2019,34.486999999999995
25/01/2019,32.830999999999996
26/01/2019,77.318
27/01/2019,54.013999999999996
28/01/2019,44.233999999999995
29/01/2019,39.67
30/01/2019,37.039
31/01/2019,34.486999999999995
01/02/2019,33.655
02/02/2019,32.016999999999996
03/02/2019,32.016999999999996
04/02/2019,33.655
05/02/2019,30.415
06/02/2019,50.989
07/02/2019,97.514
08/02/2019,73.764
09/02/2019,59.227
10/02/2019,63.549
11/02/2019,60.294
12/02/2019,39.67
13/02/2019,57.11600000000001
14/02/2019,55.04
15/02/2019,57.11600000000001
16/02/2019,185.798
17/02/2019,198.178
18/02/2019,108.383
19/02/2019,83.406
20/02/2019,112.59
21/02/2019,128.619
22/02/2019,98.845
23/02/2019,79.729
24/02/2019,69.141
25/02/2019,68.006
26/02/2019,87.15700000000002
27/02/2019,127.12299999999999
28/02/2019,124.154
01/03/2019,156.865
02/03/2019,144.005
03/03/2019,127.12299999999999
04/03/2019,106.99700000000001
05/03/2019,104.24799999999999
06/03/2019,89.698
07/03/2019,94.87700000000001
08/03/2019,96.191
09/03/2019,87.15700000000002
10/03/2019,107.689
11/03/2019,193.90900000000002
12/03/2019,162.644
13/03/2019,86.527
14/03/2019,79.729
15/03/2019,78.52
16/03/2019,85.899
17/03/2019,84.648
18/03/2019,81.559
19/03/2019,85.899
20/03/2019,87.789
21/03/2019,85.899
22/03/2019,87.15700000000002
23/03/2019,90.338
